epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9157,2.33754,5.16941,1.3355,0,0,0,0,1.9606,4.86248,1.22431,2.858e-05,2.858e-05,2.858e-05
2,22.6882,2.36392,4.98904,1.26444,0,0,0,0,1.81871,4.73842,1.15772,7.07426e-05,7.07426e-05,7.07426e-05
3,32.9371,2.12936,4.6653,1.18228,0,0,0,0,1.77172,4.61902,1.09376,0.000112056,0.000112056,0.000112056
4,44.4499,1.97754,4.38243,1.11539,0,0,0,0,1.67202,4.49517,1.02436,0.000152521,0.000152521,0.000152521
5,56.3065,1.97882,3.8633,1.03384,0.00063,0.0303,0.00035,0.0001,1.58677,4.36117,0.98089,0.000192138,0.000192138,0.000192138
6,67.7797,1.92399,3.45698,1.01587,0.00069,0.06061,0.00041,0.00024,1.64066,4.29554,0.9949,0.000230905,0.000230905,0.000230905
7,79.547,2.00157,2.88988,1.02943,0.00161,0.07576,0.00099,0.00055,1.59381,4.18492,0.9963,0.000268823,0.000268823,0.000268823
8,91.4544,1.8698,2.65585,1.04076,0.00097,0.04545,0.00055,0.00034,1.58975,4.15165,0.99962,0.000305893,0.000305893,0.000305893
9,103.654,1.78453,2.57948,1.02899,0.00032,0.01515,0.00017,0.00014,1.65132,4.09678,1.02518,0.000342114,0.000342114,0.000342114
10,115.54,1.76384,2.42603,1.05865,0.00031,0.01515,0.00016,0.00012,1.74222,4.04285,1.04434,0.000377486,0.000377486,0.000377486
11,127.25,1.80629,2.2529,1.06146,0.0028,0.13636,0.02614,0.01098,1.82958,3.92774,1.06049,0.000412009,0.000412009,0.000412009
12,139.231,1.75944,2.17698,1.03831,0.00346,0.16667,0.05647,0.02458,1.81568,3.84401,1.06117,0.000445684,0.000445684,0.000445684
13,151.283,1.75336,2.33711,1.02027,0.00396,0.18182,0.03123,0.01206,1.81212,3.79986,1.06915,0.000478509,0.000478509,0.000478509
14,163.272,1.70148,2.08366,1.05701,0.0039,0.16667,0.01586,0.00553,1.81946,3.88029,1.0645,0.000510486,0.000510486,0.000510486
15,175.165,1.62806,2.0238,1.05092,0.00437,0.21212,0.01049,0.0043,1.86912,3.9457,1.09401,0.000541614,0.000541614,0.000541614
16,187.062,1.82888,1.82833,1.08477,0.00563,0.31818,0.04273,0.01947,1.78618,3.73234,1.06567,0.000571893,0.000571893,0.000571893
17,199.104,1.71164,1.77284,1.04011,0.00411,0.22727,0.05973,0.03119,1.665,3.78535,0.9954,0.000601323,0.000601323,0.000601323
18,210.962,1.71634,1.7661,1.04337,0.00471,0.25758,0.09887,0.05485,1.59541,3.76576,0.98673,0.000629905,0.000629905,0.000629905
19,222.969,1.58411,1.72162,1.02398,0.00742,0.42424,0.23282,0.13138,1.60238,3.57295,0.98814,0.000657637,0.000657637,0.000657637
20,234.848,1.79393,1.72325,1.07585,0.00817,0.45455,0.38064,0.21561,1.55068,3.454,0.96364,0.000684521,0.000684521,0.000684521
21,246.57,1.75033,1.53735,1.09976,0.00866,0.48485,0.39836,0.19764,1.51006,3.43509,0.94948,0.000710556,0.000710556,0.000710556
22,258.43,1.56075,1.63743,1.03089,0.0092,0.51515,0.39088,0.20582,1.49041,3.44342,0.9541,0.000735742,0.000735742,0.000735742
